employee_id,travel_type,origin,destination,departure_date,return_date,airline,hotel_name,transport_mode,distance_km
1016,hotel,JFK,JFK,2026-01-06,2026-01-13,,Radisson,,
1026,taxi,SFO,FRA,2026-01-04,2026-01-08,,,flight,
1036,flight,LHR,BOM,2026-01-02,2026-01-05,Lufthansa,,,
1002,flight,BOM,JFK,2025-12-31,2026-01-04,Emirates,,,9243
1022,taxi,DXB,SFO,2025-12-29,2026-01-02,,,taxi,
1033,hotel,DXB,DEL,2025-12-27,2026-01-03,,Hyatt Place,,
1036,taxi,DXB,LHR,2025-12-25,2025-12-28,,,flight,
1035,hotel,FRA,DEL,2025-12-23,2025-12-25,,Marriott,,
1048,rail,BOM,SIN,2025-12-21,2025-12-24,,,flight,
1039,taxi,DXB,SIN,2025-12-19,2025-12-26,,,flight,
1051,flight,DXB,DXB,2025-12-17,2025-12-19,United,,,757
1044,hotel,LHR,SIN,2025-12-15,2025-12-22,,Marriott,,
1003,flight,SIN,FRA,2025-12-13,2025-12-18,United,,,522
1012,hotel,LHR,JFK,2025-12-11,2025-12-14,,Hilton,,
1037,rail,DEL,SFO,2025-12-09,2025-12-14,,,taxi,
1050,hotel,JFK,DEL,2025-12-07,2025-12-13,,NH Frankfurt,,
1036,taxi,JFK,SFO,2025-12-05,2025-12-10,,,rail,
1040,taxi,BOM,LHR,2025-12-03,2025-12-04,,,taxi,
1022,hotel,SFO,DEL,2025-12-01,2025-12-02,,Hyatt Place,,
1016,flight,SFO,DEL,2025-11-29,2025-12-04,United,,,6902
1021,rail,SFO,SIN,2025-11-27,2025-11-28,,,flight,
1017,flight,JFK,FRA,2025-11-25,2025-11-30,Lufthansa,,,710
1044,rail,LHR,DEL,2025-11-23,2025-11-25,,,taxi,
1009,rail,LHR,LHR,2025-11-21,2025-11-24,,,rail,
1005,flight,FRA,DXB,2025-11-19,2025-11-24,British Airways,,,5569
1021,rail,SIN,DXB,2025-11-17,2025-11-20,,,taxi,
1034,rail,LHR,SFO,2025-11-15,2025-11-20,,,rail,
1034,hotel,BOM,DXB,2025-11-13,2025-11-15,,NH Frankfurt,,
1050,flight,SFO,BOM,2025-11-11,2025-11-18,Lufthansa,,,2567
1053,rail,SIN,LHR,2025-11-09,2025-11-16,,,taxi,
1009,hotel,DXB,JFK,2025-11-07,2025-11-12,,Radisson,,
1008,flight,SIN,SIN,2025-11-05,2025-11-10,Emirates,,,5351
1014,hotel,SFO,SFO,2025-11-03,2025-11-05,,Marriott,,
1026,rail,SIN,LHR,2025-11-01,2025-11-04,,,taxi,
1004,rail,DXB,DXB,2025-10-30,2025-11-02,,,taxi,
1012,taxi,FRA,LHR,2025-10-28,2025-11-03,,,rail,
1012,rail,LHR,BOM,2025-10-26,2025-11-02,,,rail,
1031,flight,SIN,DXB,2025-10-24,2025-10-25,Lufthansa,,,3178
1034,taxi,SIN,JFK,2025-10-22,2025-10-23,,,rail,
1042,flight,LHR,DXB,2025-10-20,2025-10-23,Singapore Airlines,,,9764
1040,taxi,DEL,SIN,2025-10-18,2025-10-21,,,rail,
1016,flight,FRA,DXB,2025-10-16,2025-10-18,United,,,5464
1052,flight,DXB,SIN,2025-10-14,2025-10-19,Lufthansa,,,9576
1040,rail,FRA,SFO,2025-10-12,2025-10-14,,,rail,
1005,hotel,DEL,BOM,2025-10-10,2025-10-13,,Radisson,,
1006,flight,LHR,DXB,2025-10-08,2025-10-09,British Airways,,,8513
1030,hotel,JFK,FRA,2025-10-06,2025-10-10,,Hilton,,
1045,rail,SIN,DXB,2025-10-04,2025-10-09,,,rail,
1041,flight,SIN,FRA,2025-10-02,2025-10-03,United,,,3541
1055,taxi,JFK,DXB,2025-09-30,2025-10-07,,,rail,
1003,flight,FRA,FRA,2025-09-28,2025-09-29,Emirates,,,8566
