meter_id,billing_start,billing_end,kwh_usage,peak_usage,off_peak_usage,tariff_plan,utility_provider
MTR-1001,2026-02-04,2026-03-04,1682,1009.2,672.8,PeakSaver,Vattenfall
MTR-3099,2026-02-01,2026-03-04,1552,931.2,620.8,T2-Industrial,EnBW
MTR-1001,2026-01-29,2026-02-28,2392,1435.2,956.8,T2-Industrial,E.ON
MTR-1001,2026-01-26,2026-02-25,2450,1470,980,T1-Standard,RWE
MTR-3099,2026-01-23,2026-02-21,2991,1794.6,1196.4,PeakSaver,E.ON
MTR-2044,2026-01-20,2026-02-15,2108,1264.8,843.2,T2-Industrial,E.ON
MTR-1001,2026-01-17,2026-02-15,1934,1160.4,773.6,GreenFlex,E.ON
MTR-4410,2026-01-14,2026-02-11,8342,5005.2,3336.8,GreenFlex,RWE
MTR-3099,2026-01-11,2026-01-21,3056,1833.6,1222.4,T2-Industrial,RWE
MTR-3099,2026-01-08,2026-02-04,1281,768.6,512.4,T2-Industrial,EnBW
MTR-2044,2026-01-05,2026-02-04,2371,1422.6,948.4,T1-Standard,EnBW
MTR-3099,2026-01-02,2026-02-01,3106,1863.6,1242.4,PeakSaver,Vattenfall
MTR-1001,2025-12-30,2026-01-27,1855,1113,742,T1-Standard,EnBW
MTR-1001,2025-12-27,2026-01-25,2251,1350.6,900.4,T2-Industrial,EnBW
MTR-1001,2025-12-24,2026-01-20,802,481.2,320.8,T2-Industrial,RWE
MTR-3099,2025-12-21,2026-01-19,1268,760.8,507.2,GreenFlex,RWE
MTR-1001,2025-12-18,2026-01-16,2927,1756.2,1170.8,GreenFlex,EnBW
MTR-4410,2025-12-15,2026-01-14,1001,600.6,400.4,PeakSaver,RWE
MTR-1001,2025-12-12,2026-01-09,1309,785.4,523.6,T1-Standard,E.ON
MTR-4410,2025-12-09,2026-01-08,2938,1762.8,1175.2,T2-Industrial,E.ON
MTR-4410,2025-12-06,2026-01-03,2124,1274.4,849.6,T1-Standard,E.ON
MTR-3099,2025-12-03,2025-12-30,2839,1703.4,1135.6,T2-Industrial,Vattenfall
MTR-3099,2025-11-30,2025-12-30,1686,1011.6,674.4,T2-Industrial,Vattenfall
MTR-3099,2025-11-27,2025-12-07,2473,1483.8,989.2,PeakSaver,Vattenfall
MTR-1001,2025-11-24,2025-12-23,1164,698.4,465.6,GreenFlex,E.ON
MTR-2044,2025-11-21,2025-12-20,2413,1447.8,965.2,T1-Standard,EnBW
MTR-4410,2025-11-18,2025-12-18,2064,1238.4,825.6,GreenFlex,Vattenfall
MTR-1001,2025-11-15,2025-12-16,1103,661.8,441.2,PeakSaver,EnBW
MTR-1001,2025-11-12,2025-12-09,1548,928.8,619.2,T1-Standard,E.ON
MTR-1001,2025-11-09,2025-12-08,,,,PeakSaver,EnBW
MTR-3099,2025-11-06,2025-12-02,1659,995.4,663.6,GreenFlex,E.ON
MTR-4410,2025-11-03,2025-12-03,1719,1031.4,687.6,GreenFlex,EnBW
MTR-4410,2025-10-31,2025-11-28,3008,1804.8,1203.2,GreenFlex,RWE
MTR-1001,2025-10-28,2025-11-24,1435,861,574,PeakSaver,E.ON
MTR-1001,2025-10-25,2025-11-23,1444,866.4,577.6,PeakSaver,EnBW
MTR-1001,2025-10-22,2025-11-17,2181,1308.6,872.4,GreenFlex,RWE
MTR-2044,2025-10-19,2025-11-19,3100,1860,1240,T2-Industrial,EnBW
MTR-2044,2025-10-16,2025-11-12,1940,1164,776,T2-Industrial,Vattenfall
MTR-1001,2025-10-13,2025-10-23,2327,1396.2,930.8,T1-Standard,EnBW
MTR-3099,2025-10-10,2025-11-05,2199,1319.4,879.6,PeakSaver,EnBW
MTR-4410,2025-10-07,2025-11-03,2701,1620.6,1080.4,T2-Industrial,Vattenfall
MTR-4410,2025-10-04,2025-11-02,2682,1609.2,1072.8,PeakSaver,EnBW
MTR-1001,2025-10-01,2025-11-01,2113,1267.8,845.2,PeakSaver,E.ON
MTR-3099,2025-09-28,2025-10-28,1334,800.4,533.6,GreenFlex,E.ON
MTR-1001,2025-09-25,2025-10-21,3093,1855.8,1237.2,GreenFlex,Vattenfall
MTR-1001,2025-09-22,2025-10-23,2552,1531.2,1020.8,T1-Standard,RWE
MTR-4410,2025-09-19,2025-10-15,2698,1618.8,1079.2,T2-Industrial,RWE
MTR-2044,2025-09-16,2025-10-12,1252,751.2,500.8,GreenFlex,E.ON
MTR-3099,2025-09-13,2025-10-14,947,568.2,378.8,T1-Standard,Vattenfall
MTR-4410,2025-09-10,2025-10-07,2832,1699.2,1132.8,PeakSaver,Vattenfall
MTR-1001,2025-09-07,2025-10-06,2566,1539.6,1026.4,PeakSaver,E.ON
MTR-1001,2025-09-04,2025-10-01,9188,5512.8,3675.2,T1-Standard,E.ON
MTR-3099,2025-09-01,2025-10-01,2974,1784.4,1189.6,PeakSaver,RWE
MTR-3099,2025-08-29,2025-09-08,2565,1539,1026,T1-Standard,E.ON
MTR-2044,2025-08-26,2025-09-26,3106,1863.6,1242.4,GreenFlex,RWE
MTR-3099,2025-08-23,2025-09-21,2381,1428.6,952.4,T1-Standard,E.ON
MTR-3099,2025-08-20,2025-09-20,1499,899.4,599.6,T2-Industrial,RWE
MTR-3099,2025-08-17,2025-09-13,895,537,358,T2-Industrial,Vattenfall
MTR-3099,2025-08-14,2025-09-09,2878,1726.8,1151.2,T2-Industrial,EnBW
MTR-2044,2025-08-11,2025-09-08,2464,1478.4,985.6,GreenFlex,Vattenfall
MTR-3099,2025-08-08,2025-09-05,2293,1375.8,917.2,T2-Industrial,E.ON
MTR-2044,2025-08-05,2025-09-04,1871,1122.6,748.4,T2-Industrial,Vattenfall
MTR-2044,2025-08-02,2025-09-01,,,,PeakSaver,EnBW
MTR-3099,2025-07-30,2025-08-25,2226,1335.6,890.4,GreenFlex,RWE
MTR-3099,2025-07-27,2025-08-27,2157,1294.2,862.8,PeakSaver,Vattenfall
MTR-2044,2025-07-24,2025-08-23,1875,1125,750,GreenFlex,E.ON
MTR-1001,2025-07-21,2025-08-16,1852,1111.2,740.8,GreenFlex,RWE
MTR-2044,2025-07-18,2025-08-15,2276,1365.6,910.4,T1-Standard,Vattenfall
MTR-1001,2025-07-15,2025-07-25,1939,1163.4,775.6,PeakSaver,Vattenfall
MTR-1001,2025-07-12,2025-08-11,1696,1017.6,678.4,PeakSaver,EnBW
MTR-4410,2025-07-09,2025-08-05,1010,606,404,T1-Standard,Vattenfall
MTR-1001,2025-07-06,2025-08-02,2835,1701,1134,T2-Industrial,EnBW
MTR-4410,2025-07-03,2025-07-29,2556,1533.6,1022.4,GreenFlex,Vattenfall
MTR-3099,2025-06-30,2025-07-27,11921,7152.6,4768.4,T2-Industrial,RWE
MTR-3099,2025-06-27,2025-07-27,1911,1146.6,764.4,T2-Industrial,RWE
MTR-3099,2025-06-24,2025-07-23,2803,1681.8,1121.2,T2-Industrial,Vattenfall
MTR-2044,2025-06-21,2025-07-17,2454,1472.4,981.6,PeakSaver,Vattenfall
MTR-1001,2025-06-18,2025-07-19,2606,1563.6,1042.4,T1-Standard,E.ON
MTR-4410,2025-06-15,2025-07-11,2561,1536.6,1024.4,GreenFlex,EnBW
MTR-2044,2025-06-12,2025-07-09,1176,705.6,470.4,T1-Standard,RWE
MTR-4410,2025-06-09,2025-07-05,958,574.8,383.2,PeakSaver,EnBW
MTR-1001,2025-06-06,2025-07-03,1447,868.2,578.8,T2-Industrial,RWE
MTR-3099,2025-06-03,2025-06-30,1807,1084.2,722.8,PeakSaver,EnBW
MTR-1001,2025-05-31,2025-06-10,2359,1415.4,943.6,GreenFlex,EnBW
